Genome	SkewI	Kingdom	K_TID	Phylum	P_TID	Class	C_TID	Order	O_TID	Family	F_TId	Genus	G_TID	Species	S_TID
"NZ_CP022377.1 Francisella sp. PA05-1188 chromosome, complete genome"	0.935172433	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Thiotrichales	72273	f__Francisellaceae	34064	g__Francisella	262	s__Francisella_sp._PA05-1188	2016517
"NZ_CP018218.1 Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046, complete genome"	0.993764655	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_delbrueckii_subsp._jakobsenii	1537158
"NZ_CP017066.1 Lactobacillus plantarum strain LP3 chromosome, complete genome"	0.993908324	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP027190.1 Lactobacillus sp. CBA3605 chromosome, complete genome"	0.994024231	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_sp._CBA3605	2099788
"NZ_CP017954.1 Lactobacillus plantarum strain C410L1, complete genome"	0.994262653	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP014985.1 Lactobacillus paracasei strain IIA, complete genome"	0.994799554	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_paracasei	1597
"NZ_CP016028.1 Lactobacillus curvatus strain FBA2, complete genome"	0.995263842	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_curvatus	28038
"NZ_CP023399.1 Pseudoalteromonas spongiae strain SAO4-4 chromosome 2, complete sequence"	0.935385826	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_spongiae	298657
"NZ_CP034465.1 Jeotgalibaca sp. H21T32 chromosome, complete genome"	0.935405188	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Carnobacteriaceae	186828	g__Jeotgalibaca	1470540	s__Jeotgalibaca_sp._H21T32	2496265
"NZ_CP025586.1 Lactobacillus plantarum strain KC3 chromosome, complete genome"	0.995318225	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP015126.1 Lactobacillus plantarum strain CAUH2, complete genome"	0.995408219	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP016540.2 Planococcus sp. L10.15, complete genome"	0.935492557	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Planococcaceae	186818	g__Planococcus	1372	s__Planococcus_versutus	1302659
"NC_009337.1 Chlorobium phaeovibrioides DSM 265, complete genome"	0.935502207	k__Bacteria	2	p__Chlorobi	1090	c__Chlorobia	191410	o__Chlorobiales	191411	f__Chlorobiaceae	191412	g__Chlorobium	1091	s__Chlorobium_phaeovibrioides	1094
"NC_013209.1 Acetobacter pasteurianus IFO 3283-01 DNA, complete genome"	0.935513217	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhodospirillales	204441	f__Acetobacteraceae	433	g__Acetobacter	434	s__Acetobacter_pasteurianus_subsp._pasteurianus	481145
"NZ_AP018936.1 Streptococcus pneumoniae NU83127 DNA, complete genome"	0.935520188	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pneumoniae	1313
"NZ_CP014672.1 [Clostridium] stercorarium subsp. thermolacticum DSM 2910, complete genome"	0.935557853	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Clostridiales	186802	f__Hungateiclostridiaceae	2304686	g__Thermoclostridium	2304691	s__Thermoclostridium_stercorarium_subsp._thermolacticum	29351
"NZ_CP032744.1 Lactobacillus paraplantarum strain DSM 10667 chromosome, complete genome"	0.995578292	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_paraplantarum	60520
"NZ_CP017235.1 Lactobacillus delbrueckii subsp. bulgaricus strain L99 chromosome, complete genome"	0.995613349	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_delbrueckii_subsp._bulgaricus	1585
"NZ_CP024679.1 Citrobacter freundii strain UMH15 chromosome, complete genome"	0.935637146	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Citrobacter	544	s__Citrobacter_freundii	546
"NZ_CP031140.1 Lactobacillus plantarum strain UNQLp11 chromosome, complete genome"	0.995775874	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP017374.1 Lactobacillus plantarum strain TMW 1.708 chromosome, complete genome"	0.995784512	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP008743.1 Candidatus Nucleicultrix amoebiphila FS5, complete genome"	0.935691857	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Holosporales	1921002	f__Caedimonadaceae	2100208	g__Candidatus_Nucleicultrix	1509243	s__Candidatus_Nucleicultrix_amoebiphila	1509244
"NZ_CP022273.1 Citrobacter freundii strain 18-1 chromosome, complete genome"	0.935693864	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Citrobacter	544	s__Citrobacter_freundii	546
"NZ_CP032648.1 Lactobacillus plantarum strain ZFM4 chromosome, complete genome"	0.99592542	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP015951.1 Legionella pneumophila strain E5_N chromosome, complete genome"	0.935722584	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Legionellales	118969	f__Legionellaceae	444	g__Legionella	445	s__Legionella_pneumophila	446
"NZ_CP015966.1 Lactobacillus plantarum strain LZ206 chromosome, complete genome"	0.995969126	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP040500.1 Lactobacillus paragasseri JV-V03 chromosome, complete genome"	0.996000752	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_paragasseri	2107999
"NZ_CP023566.1 Lactobacillus murinus strain CR141 chromosome, complete genome"	0.996293613	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_murinus	1622
"NZ_CP026743.1 Lactobacillus plantarum strain KC28 chromosome, complete genome"	0.996400503	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP011158.1 Moraxella ovis strain 199/55, complete genome"	0.935769984	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Moraxella	475	s__Moraxella_ovis	29433
"NC_009438.1 Shewanella putrefaciens CN-32, complete genome"	0.93577895	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Shewanellaceae	267890	g__Shewanella	22	s__Shewanella_putrefaciens	24
"NZ_CP007240.1 Streptococcus pyogenes strain 7F7, complete genome"	0.935787436	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pyogenes	1314
"NC_014355.1 Candidatus Nitrospira defluvii chromosome, complete genome"	0.935817078	k__Bacteria	2	p__Nitrospirae	40117	c__Nitrospira	203693	o__Nitrospirales	189778	f__Nitrospiraceae	189779	g__Nitrospira	1234	s__Nitrospira_defluvii	330214
"NZ_CP016797.1 Lactobacillus brevis strain TMW 1.2112 chromosome, complete genome"	0.99640851	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_brevis	1580
"NZ_CP027349.1 Lactobacillus plantarum strain b-2 chromosome, complete genome"	0.996491106	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP043939.1 Lactobacillus nenjiangensis strain SH-Y15 chromosome, complete genome"	0.996785819	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_nenjiangensis	1296540
"NZ_CP006883.1 Aeromonas hydrophila J-1, complete genome"	0.935847644	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Aeromonadales	135624	f__Aeromonadaceae	84642	g__Aeromonas	642	s__Aeromonas_hydrophila	644
"NZ_CP019981.1 Pediococcus inopinatus strain DSM 20285 chromosome, complete genome"	0.935851585	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Pediococcus	1253	s__Pediococcus_inopinatus	114090
"NZ_CP041362.1 Citrobacter amalonaticus strain 133355-SW-C4-Cam chromosome, complete genome"	0.935895796	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Citrobacter	544	s__Citrobacter_amalonaticus	35703
"NC_014624.2 Eubacterium callanderi strain KIST612, complete genome"	0.935898591	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Clostridiales	186802	f__Eubacteriaceae	186806	g__Eubacterium	1730	s__Eubacterium_callanderi	53442
"NZ_CP023173.1 Mesoplasma chauliocola strain CHPA-2 chromosome, complete genome"	0.935913334	k__Bacteria	2	p__Tenericutes	544448	c__Mollicutes	31969	o__Entomoplasmatales	186328	f__Entomoplasmataceae	33925	g__Mesoplasma	46239	s__Mesoplasma_chauliocola	216427
"NZ_CP009531.1 Lactobacillus sp. wkB8, complete genome"	0.996814865	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_sp._wkB8	1545702
"NZ_CP015579.1 Tatumella citrea strain DSM 13699 chromosome, complete genome"	0.935940239	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Erwiniaceae	1903409	g__Tatumella	82986	s__Tatumella_citrea	53336
"NC_017121.1 Acetobacter pasteurianus IFO 3283-07 DNA, complete genome"	0.935980322	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhodospirillales	204441	f__Acetobacteraceae	433	g__Acetobacter	434	s__Acetobacter_pasteurianus_subsp._pasteurianus	481145
"NZ_CP015581.1 Tatumella citrea strain ATCC 39140 chromosome, complete genome"	0.935996764	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Erwiniaceae	1903409	g__Tatumella	82986	s__Tatumella_citrea	53336
"NZ_CP021279.1 Legionella pneumophila subsp. fraseri strain F-4198 chromosome, complete genome"	0.935999584	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Legionellales	118969	f__Legionellaceae	444	g__Legionella	445	s__Legionella_pneumophila_subsp._fraseri	91892
"NZ_CP011013.1 Lactobacillus mucosae LM1, complete genome"	0.997292266	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_mucosae	97478
"NZ_CP013839.1 Streptococcus pyogenes strain MGAS23530, complete genome"	0.936004221	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pyogenes	1314
"NZ_CP031626.1 Streptococcus pyogenes strain MGAS28386 chromosome, complete genome"	0.936006539	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pyogenes	1314
"NC_014727.1 Lactobacillus delbrueckii subsp. bulgaricus ND02, complete genome"	0.997293665	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_delbrueckii_subsp._bulgaricus	1585
"NZ_CP015378.1 Fictibacillus phosphorivorans strain G25-29 chromosome, complete genome"	0.93602306	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Fictibacillus	1329200	s__Fictibacillus_phosphorivorans	1221500
"NC_008319.1 Synechococcus sp. CC9311, complete genome"	0.936032175	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._CC9311	64471
"NZ_CP031003.1 Lactobacillus curvatus strain TMW 1.1928 chromosome, complete genome"	0.997602331	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_curvatus	28038
"NZ_CP033885.1 Lactobacillus brevis strain LMT1-73 chromosome, complete genome"	0.997620996	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_brevis	1580
"NZ_CP012033.1 Lactobacillus koreensis strain 26-25, complete genome"	0.997734478	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_koreensis	637971
"NC_018936.1 Streptococcus pyogenes A20, complete genome"	0.936165998	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pyogenes	1314
"NZ_CP032633.1 Lactobacillus sakei strain ZFM220 chromosome, complete genome"	0.997843944	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_sakei	1599
"NZ_CP026059.1 Proteus mirabilis strain FDAARGOS_80 chromosome, complete genome"	0.93618844	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Morganellaceae	1903414	g__Proteus	583	s__Proteus_mirabilis	584
"NZ_CP032635.1 Lactobacillus sakei strain ZFM225 chromosome, complete genome"	0.997854105	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_sakei	1599
"NZ_CP032652.1 Lactobacillus sakei strain LZ217 chromosome, complete genome"	0.997857153	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_sakei	1599
"NZ_CP032640.1 Lactobacillus sakei strain ZFM229 chromosome, complete genome"	0.997859185	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_sakei	1599
"NZ_CP027805.1 Lactobacillus reuteri strain WHH1689 chromosome, complete genome"	0.997953218	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_reuteri	1598
"NZ_CP021932.1 Lactobacillus plantarum strain TMW 1.1478 chromosome, complete genome"	0.99816392	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NC_021514.1 Lactobacillus plantarum 16, complete genome"	0.998463549	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP041051.1 Citrobacter sp. CF971 chromosome, complete genome"	0.936344515	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Citrobacter	544	s__Citrobacter_sp._CF971	2566012
"NZ_CP014881.1 Lactobacillus backii strain TMW 1.1991 chromosome, complete genome"	0.998565732	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_backii	375175
"NZ_CP010528.1 Lactobacillus plantarum strain B21, complete genome"	0.998702904	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NC_020229.1 Lactobacillus plantarum ZJ316, complete genome"	0.998762783	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP035150.1 Lactobacillus plantarum strain SRCM103361 chromosome, complete genome"	0.998840586	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP007631.1 Streptococcus agalactiae strain NGBS061, complete genome"	0.936427807	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_agalactiae	1311
"NC_017111.1 Acetobacter pasteurianus IFO 3283-32 DNA, complete genome"	0.936432097	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhodospirillales	204441	f__Acetobacteraceae	433	g__Acetobacter	434	s__Acetobacter_pasteurianus_subsp._pasteurianus	481145
"NZ_CP031513.1 Lactobacillus bombi strain BI-2.5 chromosome, complete genome"	0.998868673	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_bombi	1303590
"NZ_CP024413.1 Lactobacillus plantarum strain ATCC 8014 chromosome, complete genome"	0.999123269	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NC_017108.1 Acetobacter pasteurianus IFO 3283-12 DNA, complete genome"	0.9364379	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhodospirillales	204441	f__Acetobacteraceae	433	g__Acetobacter	434	s__Acetobacter_pasteurianus_subsp._pasteurianus	481145
"NZ_CP012363.1 Oblitimonas alkaliphila strain E1086 chromosome, complete genome"	0.936457199	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Pseudomonadaceae	135621	g__Oblitimonas	1849530	s__Oblitimonas_alkaliphila	1697053
"NZ_CP010796.1 Carnobacterium sp. CP1, complete genome"	0.936474052	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Carnobacteriaceae	186828	g__Carnobacterium	2747	s__Carnobacterium_sp._CP1	1564681
"NC_008021.1 Streptococcus pyogenes MGAS9429, complete genome"	0.936580946	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pyogenes	1314
"NZ_CP025285.1 Lactobacillus plantarum subsp. plantarum strain nF1-FD chromosome, complete genome"	0.999319054	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum_subsp._plantarum	337330
"NZ_CP040234.1 Citrobacter sp. TBCP-5362 chromosome, complete genome"	0.936602719	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Citrobacter	544	s__Citrobacter_sp._TBCP-5362	2576406
"NC_021991.1 Acetobacter pasteurianus 386B, complete genome"	0.936608958	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhodospirillales	204441	f__Acetobacteraceae	433	g__Acetobacter	434	s__Acetobacter_pasteurianus	438
"NZ_CP012454.1 Enterococcus faecium strain ISMMS_VRE_5, complete genome"	0.936610951	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Enterococcaceae	81852	g__Enterococcus	1350	s__Enterococcus_faecium	1352
"NZ_CP030881.1 Lactobacillus plantarum strain nF1 chromosome, complete genome"	0.999756149	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP013908.1 Streptococcus agalactiae strain GBS-M002, complete genome"	0.936647281	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_agalactiae	1311
"NZ_CP031185.1 Lactobacillus brevis strain SA-C12 chromosome, complete genome"	0.999819295	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_brevis	1580
"NZ_CP042220.1 Dickeya sp. NCPPB 569 chromosome, complete genome"	0.936683879	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Pectobacteriaceae	1903410	g__Dickeya	204037	s__Dickeya_sp._NCPPB_569	568768
"NZ_CP025582.1 Lactobacillus paracasei strain HD1.7 chromosome, complete genome"	1.000236898	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_paracasei	1597
"NZ_CP043041.1 Leptospira interrogans serovar Hardjo strain L53 chromosome 1, complete sequence"	0.936732018	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Leptospirales	1643688	f__Leptospiraceae	170	g__Leptospira	171	s__Leptospira_interrogans	173
"NZ_CP026097.1 Lactobacillus paracasei strain HDS-01 chromosome, complete genome"	1.000405757	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_paracasei	1597
"NZ_CP040374.1 Lactobacillus plantarum subsp. plantarum strain BNH17 chromosome, complete genome"	1.000423617	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum_subsp._plantarum	337330
"NZ_CP016269.1 Flavobacteriaceae bacterium UJ101, complete genome"	0.936826351	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	-	-	s__Flavobacteriaceae_bacterium_UJ101	1150389
"NZ_CP019430.1 Oxalobacter formigenes OXCC13 chromosome, complete genome"	0.936863226	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Burkholderiales	80840	f__Oxalobacteraceae	75682	g__Oxalobacter	846	s__Oxalobacter_formigenes	847
"NZ_AP018005.1 Candidatus Rickettsiella viridis DNA, complete genome, strain: Ap-RA04"	0.936865993	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Legionellales	118969	f__Coxiellaceae	118968	g__Rickettsiella	59195	s__Candidatus_Rickettsiella_viridis	676208
"NZ_CP035143.1 Lactobacillus plantarum strain SRCM103357 chromosome, complete genome"	1.000767051	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP034694.1 Lactobacillus plantarum strain FBL-3a chromosome, complete genome"	1.002400812	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP011769.1 Lactobacillus plantarum strain Zhang-LL, complete genome"	1.002635984	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP019712.1 Lactobacillus plantarum strain Q7 chromosome, complete genome"	1.002642777	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP022474.1 Lactobacillus curvatus strain MRS6 chromosome, complete genome"	1.00269166	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_curvatus	28038
"NZ_CP023728.1 Lactobacillus plantarum strain 10CH chromosome, complete genome"	1.002701253	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Lactobacillaceae	33958	g__Lactobacillus	1578	s__Lactobacillus_plantarum	1590
"NZ_CP007506.3 Pandoraea pnomenusa strain RB38, complete genome"	0.936991766	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Burkholderiales	80840	f__Burkholderiaceae	119060	g__Pandoraea	93217	s__Pandoraea_pnomenusa	93220
